loss,accuracy,lr
7.56596346036531e-05,1.0,0.00025
7.550638838438317e-05,1.0,0.00025
7.53658969188109e-05,1.0,0.00025
7.523818931076676e-05,1.0,0.00025
7.509771239710972e-05,1.0,0.00025
7.496149191865698e-05,1.0,0.00025
7.482952059945092e-05,1.0,0.00025
7.469755655620247e-05,1.0,0.00025
7.456558523699641e-05,1.0,0.000125
7.449321856256574e-05,1.0,0.000125
7.442937203450128e-05,1.0,0.000125
7.43612545193173e-05,1.0,0.000125
7.428888784488663e-05,1.0,0.000125
7.422928320011124e-05,1.0,0.000125
7.415266009047627e-05,1.0,0.000125
7.40888062864542e-05,1.0,0.000125
7.401643961202353e-05,1.0,0.000125
7.394832937279716e-05,1.0,0.000125
7.388021185761318e-05,1.0,0.000125
7.382062176475301e-05,1.0,0.000125
7.374824053840712e-05,1.0,0.000125
7.368013757513836e-05,1.0,0.000125
7.362478936556727e-05,1.0,0.000125
7.354817353188992e-05,1.0,0.000125
7.348005601670593e-05,1.0,0.000125
7.341194577747956e-05,1.0,0.000125
7.333531539188698e-05,1.0,0.000125
7.328422361752018e-05,1.0,0.000125
7.319909491343424e-05,1.0,0.000125
7.313523383345455e-05,1.0,0.000125
7.307564374059439e-05,1.0,0.000125
7.299902063095942e-05,1.0,0.000125
7.293089583981782e-05,1.0,0.000125
7.287556218216196e-05,1.0,0.000125
7.280318823177367e-05,1.0,0.000125
7.2730821557343e-05,1.0,0.000125
7.267548062372953e-05,1.0,0.000125
7.261162681970745e-05,1.0,0.000125
7.252647628774866e-05,1.0,0.000125
7.247114990605041e-05,1.0,0.000125
7.240303966682404e-05,1.0,0.000125
7.233066571643576e-05,1.0,0.000125
7.225829176604748e-05,1.0,0.000125
7.21944379620254e-05,1.0,0.000125
7.213484059320763e-05,1.0,0.000125
7.206247391877696e-05,1.0,0.000125
7.198584353318438e-05,1.0,0.000125
7.19092131475918e-05,1.0,0.000125
7.184962305473164e-05,1.0,0.000125
7.178151281550527e-05,1.0,0.000125
7.172191544668749e-05,1.0,0.000125
7.164954877225682e-05,1.0,0.000125
7.158993685152382e-05,1.0,0.000125
7.152183388825506e-05,1.0,0.000125
7.144945993786678e-05,1.0,0.000125
7.137709326343611e-05,1.0,0.000125
7.132174505386502e-05,1.0,0.000125
7.125789124984294e-05,1.0,0.000125
7.118552457541227e-05,1.0,1e-04
7.1138703788165e-05,1.0,1e-04
7.107484998414293e-05,1.0,1e-04
7.101098162820563e-05,1.0,1e-04
7.097267371136695e-05,1.0,1e-04
7.091307634254918e-05,1.0,1e-04
7.084921526256949e-05,1.0,1e-04
7.080239447532222e-05,1.0,1e-04
7.074279710650444e-05,1.0,1e-04
7.070023275446147e-05,1.0,1e-04
7.064062810968608e-05,1.0,1e-04
7.05852871760726e-05,1.0,1e-04
7.05341954017058e-05,1.0,1e-04
7.048311817925423e-05,1.0,1e-04
7.042777724564075e-05,1.0,1e-04
7.036817987682298e-05,1.0,1e-04
7.03085825080052e-05,1.0,1e-04
7.025323429843411e-05,1.0,1e-04
7.021066994639114e-05,1.0,1e-04
7.014255970716476e-05,1.0,1e-04
7.009572436800227e-05,1.0,1e-04
7.00446471455507e-05,1.0,1e-04
6.999356264714152e-05,1.0,1e-04
6.993395800236613e-05,1.0,1e-04
6.988712993916124e-05,1.0,1e-04
6.982753257034346e-05,1.0,1e-04
6.977644807193428e-05,1.0,1e-04
6.97296200087294e-05,1.0,1e-04
6.966576620470732e-05,1.0,1e-04
6.961468170629814e-05,1.0,1e-04
6.956359720788896e-05,1.0,1e-04
6.949973612790927e-05,1.0,1e-04
6.94571717758663e-05,1.0,1e-04
6.940609455341473e-05,1.0,1e-04
6.934648990863934e-05,1.0,1e-04
6.929541268618777e-05,1.0,1e-04
6.922729517100379e-05,1.0,1e-04
6.919324368936941e-05,1.0,1e-04
6.912512617418543e-05,1.0,1e-04
6.906978524057195e-05,1.0,1e-04
6.901018787175417e-05,1.0,1e-04
6.89633670845069e-05,1.0,1e-04
6.89165317453444e-05,1.0,1e-04
6.885267066536471e-05,1.0,1e-04
6.881010631332174e-05,1.0,1e-04
6.874198879813775e-05,1.0,1e-04
6.869516801089048e-05,1.0,1e-04
6.864407623652369e-05,1.0,1e-04
6.857596599729732e-05,1.0,1e-04
6.852914521005005e-05,1.0,1e-04
6.847379700047895e-05,1.0,1e-04
6.841419963166118e-05,1.0,1e-04
6.837588443886489e-05,1.0,1e-04
6.831203063484281e-05,1.0,1e-04
6.826520257163793e-05,1.0,1e-04
6.820560520282015e-05,1.0,1e-04
6.814174412284046e-05,1.0,1e-04
6.80864104651846e-05,1.0,1e-04
6.80523517075926e-05,1.0,1e-04
6.799275433877483e-05,1.0,1e-04
6.792890053475276e-05,1.0,1e-04
6.788207247154787e-05,1.0,1e-04
6.782673153793439e-05,1.0,1e-04
6.7767126893159e-05,1.0,1e-04
6.770753680029884e-05,1.0,1e-04
6.767347076674923e-05,1.0,1e-04
6.760961696272716e-05,1.0,1e-04
6.755853246431798e-05,1.0,1e-04
6.74904222250916e-05,1.0,1e-04
6.745637074345723e-05,1.0,1e-04
6.739676609868184e-05,1.0,1e-04
6.732439942425117e-05,1.0,1e-04
6.728182779625058e-05,1.0,1e-04
6.72222304274328e-05,1.0,1e-04
6.717540236422792e-05,1.0,1e-04
6.710728484904394e-05,1.0,1e-04
6.706897693220526e-05,1.0,1e-04
6.700511585222557e-05,1.0,1e-04
6.69582950649783e-05,1.0,1e-04
6.690294685540721e-05,1.0,1e-04
6.683483661618084e-05,1.0,1e-04
6.678800855297595e-05,1.0,1e-04
6.673266761936247e-05,1.0,1e-04
6.6677326685749e-05,1.0,1e-04
6.661347288172692e-05,1.0,1e-04
6.657941412413493e-05,1.0,1e-04
6.652407319052145e-05,1.0,1e-04
6.645170651609078e-05,1.0,1e-04
6.6392109147273e-05,1.0,1e-04
6.63537866785191e-05,1.0,1e-04
6.629419658565894e-05,1.0,1e-04
6.622607907047495e-05,1.0,1e-04
6.619627674808726e-05,1.0,1e-04
6.614094309043139e-05,1.0,1e-04
6.60941077512689e-05,1.0,1e-04
6.602599751204252e-05,1.0,1e-04
6.596640014322475e-05,1.0,1e-04
6.590680277440697e-05,1.0,1e-04
6.585571827599779e-05,1.0,1e-04
6.58003700664267e-05,1.0,1e-04
6.575779843842611e-05,1.0,1e-04
6.569820834556594e-05,1.0,1e-04
6.564711657119915e-05,1.0,1e-04
6.559177563758567e-05,1.0,1e-04
6.55236653983593e-05,1.0,1e-04
6.548535020556301e-05,1.0,1e-04
6.542575283674523e-05,1.0,1e-04
6.536614819196984e-05,1.0,1e-04
6.532358383992687e-05,1.0,1e-04
6.527249934151769e-05,1.0,1e-04
6.520864553749561e-05,1.0,1e-04
6.515330460388213e-05,1.0,1e-04
6.511073297588155e-05,1.0,1e-04
6.505112833110616e-05,1.0,1e-04
6.499578739749268e-05,1.0,1e-04
6.49319335934706e-05,1.0,1e-04
6.489362567663193e-05,1.0,1e-04
6.483402103185654e-05,1.0,1e-04
6.479145667981356e-05,1.0,1e-04
6.472333916462958e-05,1.0,1e-04
6.468928040703759e-05,1.0,1e-04
6.461691373260692e-05,1.0,1e-04
6.457008566940203e-05,1.0,1e-04
6.451048830058426e-05,1.0,1e-04
6.445088365580887e-05,1.0,1e-04
6.439554272219539e-05,1.0,1e-04
6.435723480535671e-05,1.0,1e-04
6.430188659578562e-05,1.0,1e-04
6.424228922696784e-05,1.0,1e-04
6.419120472855866e-05,1.0,1e-04
6.414012023014948e-05,1.0,1e-04
6.406775355571881e-05,1.0,1e-04
6.402518192771822e-05,1.0,1e-04
6.397409742930904e-05,1.0,1e-04
6.393152580130845e-05,1.0,1e-04
6.385489541571587e-05,1.0,1e-04
6.38208439340815e-05,1.0,1e-04
6.375273369485512e-05,1.0,1e-04
6.371441122610122e-05,1.0,1e-04
6.364204455167055e-05,1.0,1e-04
6.360372935887426e-05,1.0,1e-04
6.355690857162699e-05,1.0,1e-04
6.34973039268516e-05,1.0,1e-04
6.343769928207621e-05,1.0,1e-04
6.338236562442034e-05,1.0,1e-04
6.333978672046214e-05,1.0,1e-04
6.327593291644007e-05,1.0,1e-04
6.32163355476223e-05,1.0,1e-04
6.317802763078362e-05,1.0,1e-04
6.312267942121252e-05,1.0,1e-04
6.307585135800764e-05,1.0,1e-04
6.301199755398557e-05,1.0,1e-04
6.295665662037209e-05,1.0,1e-04
6.290556484600529e-05,1.0,1e-04
6.285023118834943e-05,1.0,1e-04
6.279488297877833e-05,1.0,1e-04
6.273954204516485e-05,1.0,1e-04
6.270122685236856e-05,1.0,1e-04
6.2650149629917e-05,1.0,1e-04
6.259480869630352e-05,1.0,1e-04
6.252669118111953e-05,1.0,1e-04
6.248411955311894e-05,1.0,1e-04
6.242026574909687e-05,1.0,1e-04
6.236491753952578e-05,1.0,1e-04
6.23223531874828e-05,1.0,1e-04
6.22797742835246e-05,1.0,1e-04
6.222018419066444e-05,1.0,1e-04
6.216484325705096e-05,1.0,1e-04
6.210523861227557e-05,1.0,1e-04
6.20626742602326e-05,1.0,1e-04
6.201158976182342e-05,1.0,1e-04
6.195198511704803e-05,1.0,1e-04
6.190941348904744e-05,1.0,1e-04
6.185832899063826e-05,1.0,1e-04
6.179021875141189e-05,1.0,1e-04
6.173912697704509e-05,1.0,1e-04
6.167527317302302e-05,1.0,1e-04
6.164122169138864e-05,1.0,1e-04
6.157736061140895e-05,1.0,1e-04
6.152626883704215e-05,1.0,1e-04
6.146667874418199e-05,1.0,1e-04
6.14198506809771e-05,1.0,1e-04
6.136450247140601e-05,1.0,1e-04
6.130916153779253e-05,1.0,1e-04
6.126233347458765e-05,1.0,1e-04
6.120273610576987e-05,1.0,1e-04
6.11473951721564e-05,1.0,1e-04
6.109631067374721e-05,1.0,1e-04
6.104522617533803e-05,1.0,1e-04
6.099414167692885e-05,1.0,1e-04
6.093879710533656e-05,1.0,1e-04
6.088771260692738e-05,1.0,1e-04
6.08366281085182e-05,1.0,1e-04
6.078128353692591e-05,1.0,1e-04
6.0725938965333626e-05,1.0,1e-04
6.067912181606516e-05,1.0,1e-04
6.0623777244472876e-05,1.0,1e-04
6.0576945543289185e-05,1.0,1e-04
6.05301174800843e-05,1.0,1e-04
6.0470516473287717e-05,1.0,1e-04
6.042368841008283e-05,1.0,1e-04
6.036834747646935e-05,1.0,1e-04
6.0313006542855874e-05,1.0,1e-04
6.0257665609242395e-05,1.0,1e-04
6.021083754603751e-05,1.0,1e-04
6.0155492974445224e-05,1.0,1e-04
6.009164280840196e-05,1.0,1e-04
6.004055467201397e-05,1.0,1e-04
6.000223947921768e-05,1.0,1e-04
5.9942638472421095e-05,1.0,1e-04
5.988729390082881e-05,1.0,1e-04
5.9836213040398434e-05,1.0,1e-04
5.9785124904010445e-05,1.0,1e-04
5.973830047878437e-05,1.0,1e-04
5.968295954517089e-05,1.0,1e-04
5.96276149735786e-05,1.0,1e-04
5.957653047516942e-05,1.0,1e-04
5.9529702411964536e-05,1.0,1e-04
5.948713078396395e-05,1.0,1e-04
5.941902054473758e-05,1.0,1e-04
5.937644527875818e-05,1.0,1e-04
5.931684790994041e-05,1.0,1e-04
5.927001984673552e-05,1.0,1e-04
5.9206158766755834e-05,1.0,1e-04
5.916784721193835e-05,1.0,1e-04
5.911676635150798e-05,1.0,1e-04
5.9057161706732586e-05,1.0,1e-04
5.899756433791481e-05,1.0,1e-04
5.895499634789303e-05,1.0,1e-04
5.891668115509674e-05,1.0,1e-04
5.8848563639912754e-05,1.0,1e-04
5.8793222706299275e-05,1.0,1e-04
5.8754907513502985e-05,1.0,1e-04
5.8703823015093803e-05,1.0,1e-04
5.863145270268433e-05,1.0,1e-04
5.8584621001500636e-05,1.0,1e-04
5.854205664945766e-05,1.0,1e-04
5.848670843988657e-05,1.0,1e-04
5.84313711442519e-05,1.0,1e-04
5.8397312386659905e-05,1.0,1e-04
5.833771501784213e-05,1.0,1e-04
5.8295139751862735e-05,1.0,1e-04
5.822276943945326e-05,1.0,1e-04
5.8188714319840074e-05,1.0,1e-04
5.812485687783919e-05,1.0,1e-04
5.80737651034724e-05,1.0,1e-04
5.8026944316225126e-05,1.0,1e-04
5.7975859817815945e-05,1.0,1e-04
5.792902811663225e-05,1.0,1e-04
5.787369082099758e-05,1.0,1e-04
5.7818346249405295e-05,1.0,1e-04
5.7775778259383515e-05,1.0,1e-04
5.772043368779123e-05,1.0,1e-04
5.7669349189382046e-05,1.0,1e-04
5.761400461778976e-05,1.0,1e-04
5.7579949498176575e-05,1.0,1e-04
5.7516092056175694e-05,1.0,1e-04
5.746500755776651e-05,1.0,1e-04
5.7413915783399716e-05,1.0,1e-04
5.736709135817364e-05,1.0,1e-04
5.730749762733467e-05,1.0,1e-04
5.726066228817217e-05,1.0,1e-04
5.720957778976299e-05,1.0,1e-04
5.715849329135381e-05,1.0,1e-04
5.711166886612773e-05,1.0,1e-04
5.7069093600148335e-05,1.0,1e-04
5.700949259335175e-05,1.0,1e-04
5.695840809494257e-05,1.0,1e-04
5.6903063523350284e-05,1.0,1e-04
5.68562354601454e-05,1.0,1e-04
5.680514732375741e-05,1.0,1e-04
5.6766839406918734e-05,1.0,1e-04
5.6715751270530745e-05,1.0,1e-04
5.665615390171297e-05,1.0,1e-04
5.6609325838508084e-05,1.0,1e-04
5.6558237702120095e-05,1.0,1e-04
5.6498643971281126e-05,1.0,1e-04
5.644755219691433e-05,1.0,1e-04
5.6400724133709446e-05,1.0,1e-04
5.635389607050456e-05,1.0,1e-04
5.629855513689108e-05,1.0,1e-04
5.6255983508890495e-05,1.0,1e-04
5.621341188088991e-05,1.0,1e-04
5.6141037930501625e-05,1.0,1e-04
5.610273001366295e-05,1.0,1e-04
5.6047381804091856e-05,1.0,1e-04
5.5996297305682674e-05,1.0,1e-04
5.594521280727349e-05,1.0,1e-04
5.589413194684312e-05,1.0,1e-04
5.585155668086372e-05,1.0,1e-04
5.5804732255637646e-05,1.0,1e-04
5.574938404606655e-05,1.0,1e-04
5.568553024204448e-05,1.0,1e-04
5.564721504924819e-05,1.0,1e-04
5.5600386986043304e-05,1.0,1e-04
5.555355892283842e-05,1.0,1e-04
5.549821798922494e-05,1.0,1e-04
5.545138628804125e-05,1.0,1e-04
5.5400305427610874e-05,1.0,1e-04
5.5349217291222885e-05,1.0,1e-04
5.5302389228018e-05,1.0,1e-04
5.525130109163001e-05,1.0,1e-04
5.520022023119964e-05,1.0,1e-04
5.5153388530015945e-05,1.0,1e-04
5.510656410478987e-05,1.0,1e-04
